interimPersona,likeTo,finalPersona,description,quotes,skills,books
Business,I like to set goals and directions,Business Leader,You are a robust leader. You have a vision and are driven in realizing your dreams. You enjoy setting the directions right for any given task and charting the path forward for action. ,"""Be sure you put your feet in the right place. Then stand firm."" -- Abraham Lincoln, Set your sights high, the higher the better. Expect the most wonderful things to happen, not in the future but right now. Realize that nothing is too good. Allow absolutely nothing to hamper you or hold you up in any way.  -- Jack Ma",,
Business,I like to generate solutions to problems,Business Developer,You are a robust leader. You have a vision and are driven in realizing your dreams. You enjoy setting the directions right for any given task and charting the path forward for action. ,"""In the middle of every difficulty lies opportunity"" -- Albert Einstein, Let us remember: one book, one pen, one child, and one teacher can change the world.   Malala Yousafzai",,
Business,I Like to think about how to deliver solutions to more people,Communicator,You are a robust leader. You have a vision and are driven in realizing your dreams. You enjoy setting the directions right for any given task and charting the path forward for action. ,"""If we are going to be part of the solution, we have to engage the problems.""   Majora Carter,""Do not limit yourself to thinking in the present. Think above and beyond. Do not be bound by this age; aim to create a new age that will delight people throughout the world."" -- Masayoshi Son",,
Business,I like to think about risks and opportunities of possible solutions,Strategic analyst,You are a robust leader. You have a vision and are driven in realizing your dreams. You enjoy setting the directions right for any given task and charting the path forward for action. ,"""I learned to make my mind large, as the universe is large, so that there is room for paradoxes"" 
--Maxine Hong Kingston, Without leaps of imagination, or dreaming, we lose the excitement of possibilities. Dreaming, after all, is a form of planning.  -- Gloria Steinem",,
Business,I like to create things that improve lives,Creative businessperson,You are a robust leader. You have a vision and are driven in realizing your dreams. You enjoy setting the directions right for any given task and charting the path forward for action. ,"""For me, to live is about impacting people s lives."" -- Elim Chew, Stick to your true north_ build greatness for the long term. _Ruth Porat",,
Business,I like to make information accessible,Communicator,You are a robust leader. You have a vision and are driven in realizing your dreams. You enjoy setting the directions right for any given task and charting the path forward for action. ,"""The goal is to turn data into information, and information into insight."" -- Carly Florina, Your value will be not what you know; it will be what you share. _ Ginni Rometty",,
Social,I like to set goals and directions,Social Activist,You are a sharp problem solver. You have critical thinking abilities and carefully draft solutions to solve problems. You carefully consider different tenets of an issue before implementing logical solutions. ,"""Be sure you put your feet in the right place. Then stand firm."" -- Abraham Lincoln, Set your sights high, the higher the better. Expect the most wonderful things to happen, not in the future but right now. Realize that nothing is too good. Allow absolutely nothing to hamper you or hold you up in any way.  -- Jack Ma",,
Social,I like to generate solutions to problems,Politician,You are a sharp problem solver. You have critical thinking abilities and carefully draft solutions to solve problems. You carefully consider different tenets of an issue before implementing logical solutions. ,"""In the middle of every difficulty lies opportunity"" -- Albert Einstein, Let us remember: one book, one pen, one child, and one teacher can change the world.   Malala Yousafzai",,
Social,I Like to think about how to deliver solutions to more people,Social volunteer,You are a sharp problem solver. You have critical thinking abilities and carefully draft solutions to solve problems. You carefully consider different tenets of an issue before implementing logical solutions. ,"""If we are going to be part of the solution, we have to engage the problems.""   Majora Carter,""Do not limit yourself to thinking in the present. Think above and beyond. Do not be bound by this age; aim to create a new age that will delight people throughout the world."" -- Masayoshi Son",,
Social,I like to think about risks and opportunities of possible solutions,Social Entrepreneur,You are a sharp problem solver. You have critical thinking abilities and carefully draft solutions to solve problems. You carefully consider different tenets of an issue before implementing logical solutions. ,"""I learned to make my mind large, as the universe is large, so that there is room for paradoxes"" 
--Maxine Hong Kingston, Without leaps of imagination, or dreaming, we lose the excitement of possibilities. Dreaming, after all, is a form of planning.  -- Gloria Steinem",,
